fullName,season,rel_batting_impact_score,rel_bowling_impact_score
Dhawal Kulkarni,2013,8.81,66.52
Dhawal Kulkarni,2014,2.56,45.32
Dhawal Kulkarni,2015,13.56,38.19
Dhawal Kulkarni,2016,3.88,53.08
Dhawal Kulkarni,2017,7.53,70.9
Dhawal Kulkarni,2018,4.52,58.35
Dhawal Kulkarni,2019,6.52,58.29
Dhawal Kulkarni,2020,9.64,64.59
Dhawal Kulkarni,2021,8.4,58.29
Dhruv Shorey,2018,4.42,0.0
Dhruv Shorey,2019,9.91,0.0
Dilhara Fernando,2010,1.25,23.42
Dillon du Preez,2009,7.02,24.99
Dimitri Mascarenhas,2009,6.08,27.6
Dimitri Mascarenhas,2010,12.81,17.4
Dimitri Mascarenhas,2012,10.7,38.0
Dimitri Mascarenhas,2013,9.17,71.3
Dinesh Karthik,2009,13.38,0.0
Dinesh Karthik,2010,30.9,0.0
Dinesh Karthik,2011,28.11,0.0
Dinesh Karthik,2012,44.35,0.0
Dinesh Karthik,2013,40.43,0.0
Dinesh Karthik,2014,60.98,0.0
Dinesh Karthik,2015,57.57,0.0
Dinesh Karthik,2016,49.26,0.0
Dinesh Karthik,2017,66.1,0.0
Dinesh Karthik,2018,88.01,0.0
Dinesh Karthik,2019,113.91,0.0
Dinesh Karthik,2020,104.02,0.0
Dinesh Karthik,2021,96.43,0.0
Dinesh Karthik,2022,107.31,0.0
Dirk Nannes,2009,0.36,12.47
Dirk Nannes,2010,0.0,27.78
Dirk Nannes,2011,1.43,24.32
Dirk Nannes,2013,0.36,36.79
Dishant Yagnik,2011,5.29,0.0
Dishant Yagnik,2012,3.03,0.0
Dishant Yagnik,2013,8.92,0.0
Dishant Yagnik,2014,18.63,0.0
Domnic Muthuswami,2015,0.63,9.24
Doug Bollinger,2010,2.52,19.28
Doug Bollinger,2011,8.13,43.18
Doug Bollinger,2012,2.52,37.93
Doug Bracewell,2012,7.47,37.44
Dushmantha Chameera,2022,4.12,8.58
Dwaine Pretorius,2022,5.88,10.08
Dwaraka Ravi Teja,2009,12.85,10.56
Dwaraka Ravi Teja,2011,8.6,2.11
Dwaraka Ravi Teja,2012,23.96,-0.0
Dwaraka Ravi Teja,2013,9.88,-0.0
Dwayne Bravo,2009,19.52,14.92
